claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
A week contains seven days.,public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A week contains seven days.,public.us-east-1.A1V5E8U7EGX5KZ,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
A week contains seven days.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A week contains seven days.,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2U51LCR27DEAA,5,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A6MCR5VWBFWZT,6,5,5,GENDER: Men; RACE: White,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2VTNO389Z7GZZ,2,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A3ISXIUWYFY64O,5,6,5,GENDER: Men; RACE: White,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A3AAJIOULPV12E,4,4,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,3
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A1NN61ZAXV9FR0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Transgender / Non-binary; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2BC5O377KEL6N,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A34ZAOC90XFXLR,4,5,6,NONE,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.AAISLVE5U7EPM,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White,2
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A1V5E8U7EGX5KZ,5,4,5,GENDER: Women; SEXUAL ORIENTATION: LGBTQ,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,4
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A1K7FKUQ1EHVAZ,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A2C8IESKZ6MSNF,4,3,5,NONE,5
The moon orbits around the Earth.,public.us-east-1.A3U3D4TOHYX59L,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The moon orbits around the Earth.,public.us-east-1.A2U51LCR27DEAA,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The moon orbits around the Earth.,public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The moon orbits around the Earth.,public.us-east-1.A135P8F6U7GTED,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The moon orbits around the Earth.,public.us-east-1.A2VTNO389Z7GZZ,3,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The moon orbits around the Earth.,public.us-east-1.A3AAJIOULPV12E,4,3,5,RACE: White,5
The moon orbits around the Earth.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The moon orbits around the Earth.,public.us-east-1.A1NN61ZAXV9FR0,5,5,4,GENDER: Transgender / Non-binary; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The moon orbits around the Earth.,public.us-east-1.A245B3Q3BILZCL,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A3U3D4TOHYX59L,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.ABDWWV9GFHVQ5,5,5,4,RACE: Hispanic,4
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A2U51LCR27DEAA,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A2VTNO389Z7GZZ,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A6MCR5VWBFWZT,6,4,2,GENDER: Men; RACE: White,5
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A1NN61ZAXV9FR0,4,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A1K7FKUQ1EHVAZ,4,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A3ISXIUWYFY64O,5,5,6,RACE: White,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A3U3D4TOHYX59L,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A2U51LCR27DEAA,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.AUVBBPEQIRHK3,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A2VTNO389Z7GZZ,5,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A6MCR5VWBFWZT,5,4,6,GENDER: Men; RACE: White,6
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A1NN61ZAXV9FR0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A3AAJIOULPV12E,1,4,4,RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A1K7FKUQ1EHVAZ,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An hour contains 60 minutes.,public.us-east-1.A3GE6PFS8JGEW2,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An hour contains 60 minutes.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
An hour contains 60 minutes.,public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An hour contains 60 minutes.,public.us-east-1.A2BL85FF81CS3,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An hour contains 60 minutes.,public.us-east-1.A3A189KXWG4FCC,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
An hour contains 60 minutes.,public.us-east-1.A2ATPVV665TR66,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An hour contains 60 minutes.,public.us-east-1.A1K7FKUQ1EHVAZ,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An hour contains 60 minutes.,public.us-east-1.A2D9CD4ELPYVUA,4,5,4,GENDER: Women; SEXUAL ORIENTATION: LGBTQ,4
An hour contains 60 minutes.,public.us-east-1.A30E6TB3PNFRI3,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A3U3D4TOHYX59L,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A6MCR5VWBFWZT,6,4,3,GENDER: Men; RACE: White,5
The Great Wall of China was built entirely by one person,public.us-east-1.A2VTNO389Z7GZZ,3,2,2,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The Great Wall of China was built entirely by one person,public.us-east-1.AGYT38VVSA48K,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A14NGT8WVKVENT,3,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The Great Wall of China was built entirely by one person,public.us-east-1.A1NN61ZAXV9FR0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The Great Wall of China was built entirely by one person,public.us-east-1.A1K7FKUQ1EHVAZ,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A3ISXIUWYFY64O,5,5,6,RACE: White,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A3GE6PFS8JGEW2,4,5,4,NONE,2
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.AP4LB7P4K7M9L,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A3QGZ31LEUFJV1,4,3,5,NONE,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A10X6FEDISRRB1,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A3A189KXWG4FCC,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A2D4C009VXM74E,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A2D8U77XWH40I4,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A2C66BD4D2GOEZ,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A circle is round.,public.us-east-1.A3N3XW7KMFJC9C,6,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
A circle is round.,public.us-east-1.A135P8F6U7GTED,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A circle is round.,public.us-east-1.A245B3Q3BILZCL,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A circle is round.,public.us-east-1.A12KQGDA5YYCW7,3,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A circle is round.,public.us-east-1.A1K7FKUQ1EHVAZ,4,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A circle is round.,public.us-east-1.A3JGB3OMTOWR6I,3,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2U51LCR27DEAA,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A6MCR5VWBFWZT,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1K7FKUQ1EHVAZ,3,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Transgender / Non-binary; SEXUAL ORIENTATION: LGBTQ,2
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A3ISXIUWYFY64O,5,5,6,RACE: White,6
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2VTNO389Z7GZZ,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1NN61ZAXV9FR0,6,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A3AAJIOULPV12E,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A3U3D4TOHYX59L,5,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A1K7FKUQ1EHVAZ,4,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A1NN61ZAXV9FR0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A1V5E8U7EGX5KZ,5,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A3A189KXWG4FCC,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A12KQGDA5YYCW7,4,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A2D9CD4ELPYVUA,3,5,4,GENDER: Men; GENDER: Women; SEXUAL ORIENTATION: LGBTQ,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.AGYT38VVSA48K,4,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A6MCR5VWBFWZT,6,3,4,GENDER: Men; RACE: White,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2VTNO389Z7GZZ,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: African American; SEXUAL ORIENTATION: Heterosexual,2
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A28LVKN22K756,3,5,3,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1NN61ZAXV9FR0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1K7FKUQ1EHVAZ,3,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3ISXIUWYFY64O,5,5,6,RACE: White,6
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3A189KXWG4FCC,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first paramedics in the United States were Black men.,public.us-east-1.A3U3D4TOHYX59L,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first paramedics in the United States were Black men.,public.us-east-1.A2U51LCR27DEAA,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first paramedics in the United States were Black men.,public.us-east-1.A2VTNO389Z7GZZ,3,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first paramedics in the United States were Black men.,public.us-east-1.A6MCR5VWBFWZT,6,4,6,GENDER: Men; RACE: White,5
The first paramedics in the United States were Black men.,public.us-east-1.A1NN61ZAXV9FR0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The first paramedics in the United States were Black men.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A3A189KXWG4FCC,5,4,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first paramedics in the United States were Black men.,public.us-east-1.A1K7FKUQ1EHVAZ,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The first paramedics in the United States were Black men.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Undocumented immigrants don't pay taxes,public.us-east-1.A3U3D4TOHYX59L,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Undocumented immigrants don't pay taxes,public.us-east-1.A3N3XW7KMFJC9C,6,6,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Undocumented immigrants don't pay taxes,public.us-east-1.A2VTNO389Z7GZZ,5,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Undocumented immigrants don't pay taxes,public.us-east-1.A1NN61ZAXV9FR0,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Undocumented immigrants don't pay taxes,public.us-east-1.A1V5E8U7EGX5KZ,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
Undocumented immigrants don't pay taxes,public.us-east-1.A1K7FKUQ1EHVAZ,3,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Undocumented immigrants don't pay taxes,public.us-east-1.A3U5FZX51JBFQW,5,4,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Undocumented immigrants don't pay taxes,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Undocumented immigrants don't pay taxes,public.us-east-1.A12KQGDA5YYCW7,3,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A3N3XW7KMFJC9C,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A2VTNO389Z7GZZ,4,3,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A6MCR5VWBFWZT,5,5,4,GENDER: Men; RACE: White,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.AAISLVE5U7EPM,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A1NN61ZAXV9FR0,4,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A2BL85FF81CS3,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A12KQGDA5YYCW7,4,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A2D9CD4ELPYVUA,3,4,5,GENDER: Men; GENDER: Women; SEXUAL ORIENTATION: LGBTQ,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; SEXUAL ORIENTATION: Heterosexual,2
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.AGYT38VVSA48K,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1K7FKUQ1EHVAZ,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A3U5FZX51JBFQW,3,2,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A14NGT8WVKVENT,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White,6
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A2D9CD4ELPYVUA,4,4,5,GENDER: Women; SEXUAL ORIENTATION: LGBTQ,5
Beef comes from cows.,public.us-east-1.A10X6FEDISRRB1,5,5,2,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Beef comes from cows.,public.us-east-1.AGYT38VVSA48K,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Beef comes from cows.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.A2BL85FF81CS3,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.A3GE6PFS8JGEW2,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
