claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1EAJF4MKAGHJE,5,2,2,RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A12KQGDA5YYCW7,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.ABDWWV9GFHVQ5,3,3,1,NONE,3
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A3QGZ31LEUFJV1,2,2,3,NONE,5
Water is a liquid at room temperature.,public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Water is a liquid at room temperature.,public.us-east-1.A28LVKN22K756,5,6,6,GENDER: Women; RACE: East or South Asian,5
Water is a liquid at room temperature.,public.us-east-1.A12KQGDA5YYCW7,4,5,2,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Water is a liquid at room temperature.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A10X6FEDISRRB1,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A12KQGDA5YYCW7,1,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A10X6FEDISRRB1,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An almond is a type of nut.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women; RACE: East or South Asian,2
An almond is a type of nut.,public.us-east-1.ABDWWV9GFHVQ5,3,3,1,NONE,1
Paris is located in France.,public.us-east-1.A10X6FEDISRRB1,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Paris is located in France.,public.us-east-1.A12KQGDA5YYCW7,3,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Diamonds are very expensive.,public.us-east-1.A12KQGDA5YYCW7,3,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Diamonds are very expensive.,public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Diamonds are very expensive.,public.us-east-1.ABDWWV9GFHVQ5,3,3,1,NONE,2
Diamonds are very expensive.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women; RACE: East or South Asian,2
Diamonds are very expensive.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A12KQGDA5YYCW7,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A10X6FEDISRRB1,6,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.ABDWWV9GFHVQ5,4,4,1,NONE,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A10X6FEDISRRB1,5,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Harvard is teaching medical students to treat transgender infants,public.us-east-1.ABDWWV9GFHVQ5,5,5,4,GENDER: Transgender / Non-binary,3
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A week contains seven days.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A week contains seven days.,public.us-east-1.A12KQGDA5YYCW7,3,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A week contains seven days.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Transgender / Non-binary; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White,2
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,4
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The moon orbits around the Earth.,public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.ABDWWV9GFHVQ5,5,5,4,RACE: Hispanic,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An hour contains 60 minutes.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
An hour contains 60 minutes.,public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A3QGZ31LEUFJV1,4,3,5,NONE,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A10X6FEDISRRB1,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A circle is round.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
A circle is round.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A circle is round.,public.us-east-1.A12KQGDA5YYCW7,3,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Transgender / Non-binary; SEXUAL ORIENTATION: LGBTQ,2
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A12KQGDA5YYCW7,4,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: African American; SEXUAL ORIENTATION: Heterosexual,2
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A28LVKN22K756,3,5,3,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,4
The first paramedics in the United States were Black men.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Undocumented immigrants don't pay taxes,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Undocumented immigrants don't pay taxes,public.us-east-1.A12KQGDA5YYCW7,3,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A12KQGDA5YYCW7,4,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; SEXUAL ORIENTATION: Heterosexual,2
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White,6
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Beef comes from cows.,public.us-east-1.A10X6FEDISRRB1,5,5,2,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Beef comes from cows.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,4
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A28LVKN22K756,4,4,4,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,2
Joe Biden has four eyes on the top of his head.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,6
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,3,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A3QGZ31LEUFJV1,4,4,4,NONE,3
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A10X6FEDISRRB1,5,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual; SEXUAL ORIENTATION: LGBTQ,2
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,3,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.ABDWWV9GFHVQ5,3,3,1,NONE,6
Apples are a type of fruit.,public.us-east-1.A10X6FEDISRRB1,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A12KQGDA5YYCW7,2,3,4,GENDER: Men; RACE: White,4
Apples are a type of fruit.,public.us-east-1.ABDWWV9GFHVQ5,2,1,1,NONE,1
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A12KQGDA5YYCW7,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1PZNXUXSW2MH0,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,3,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A12KQGDA5YYCW7,4,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A1MHUF6WJDR4A2,6,4,4,GENDER: Men; GENDER: Transgender / Non-binary; GENDER: Women,2
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A28LVKN22K756,5,6,5,GENDER: Women,1
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.ABDWWV9GFHVQ5,5,5,3,RACE: Hispanic,4
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A12KQGDA5YYCW7,3,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A10X6FEDISRRB1,5,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women; RACE: East or South Asian,5
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; SEXUAL ORIENTATION: Heterosexual,2
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A bicycle has two wheels.,public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A bicycle has two wheels.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A10X6FEDISRRB1,6,6,5,RACE: White,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A2WSWG9IQ0ZOC8,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A10X6FEDISRRB1,6,6,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A28LVKN22K756,5,4,5,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,6
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A12KQGDA5YYCW7,2,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A3QGZ31LEUFJV1,4,4,5,NONE,3
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A28LVKN22K756,5,4,5,GENDER: Women; RACE: East or South Asian,5
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A3QGZ31LEUFJV1,4,5,4,NONE,3
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women; RACE: East or South Asian,1
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A12KQGDA5YYCW7,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.ABDWWV9GFHVQ5,5,5,4,GENDER: Women,4
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1PZNXUXSW2MH0,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Las Vegas is located in the state of Nevada.,public.us-east-1.A12KQGDA5YYCW7,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Las Vegas is located in the state of Nevada.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1EAJF4MKAGHJE,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A28LVKN22K756,5,4,5,GENDER: Women; RACE: East or South Asian,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A12KQGDA5YYCW7,4,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,6
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A10X6FEDISRRB1,5,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,3
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A1EAJF4MKAGHJE,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The moon orbits around the Earth.,public.us-east-1.A12KQGDA5YYCW7,4,6,5,,5
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A1EAJF4MKAGHJE,5,2,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A12KQGDA5YYCW7,4,5,5,,5
Paris is located in France.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Undocumented immigrants don't pay taxes,public.us-east-1.A3QGZ31LEUFJV1,3,3,4,NONE,5
The first paramedics in the United States were Black men.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A3QGZ31LEUFJV1,2,5,4,NONE,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A3QGZ31LEUFJV1,4,5,4,NONE,3
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
